,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0,1901,49.2,87.1,29.2,2.3,528.8,517.5,365.1,481.1,332.6,388.5,558.2,33.6
1,0,1902,0.0,159.8,12.2,0.0,446.1,537.1,228.9,753.7,666.2,197.2,359.0,160.5
2,0,1903,12.7,144.0,0.0,1.0,235.1,479.9,728.4,326.7,339.0,181.2,284.4,225.0
3,0,1904,9.4,14.7,0.0,202.4,304.5,495.1,502.0,160.1,820.4,222.2,308.7,40.1
4,0,1905,1.3,0.0,3.3,26.9,279.5,628.7,368.7,330.5,297.0,260.7,25.4,344.7
5,0,1906,36.6,0.0,0.0,0.0,556.1,733.3,247.7,320.5,164.3,267.8,128.9,79.2
6,0,1907,110.7,0.0,113.3,21.6,616.3,305.2,443.9,377.6,200.4,264.4,648.9,245.6
7,0,1908,20.9,85.1,0.0,29.0,562.0,693.6,481.4,699.9,428.8,170.7,208.1,196.9
8,0,1910,26.6,22.7,206.3,89.3,224.5,472.7,264.3,337.4,626.6,208.2,267.3,153.5
9,0,1911,0.0,8.4,0.0,122.5,327.3,649.0,253.0,187.1,464.5,333.8,94.5,247.1
10,0,1912,583.7,0.8,0.0,21.9,140.7,549.8,468.9,370.3,386.2,318.7,117.2,2.3
11,0,1913,84.8,0.5,1.3,2.5,190.7,530.0,280.8,205.8,580.1,288.8,133.0,67.5
12,0,1914,0.0,0.0,1.3,37.7,298.8,383.3,792.8,520.5,310.8,139.8,184.4,289.7
13,0,1915,45.0,56.7,33.3,40.9,170.2,334.7,269.0,317.2,429.8,468.1,258.4,318.0
14,0,1916,0.0,0.0,0.0,0.5,487.4,450.1,317.3,425.0,561.2,369.7,192.6,133.7
15,0,1917,8.0,3.6,112.0,4.5,295.9,301.1,394.8,437.4,471.8,238.1,108.3,236.9
16,0,1918,77.4,6.9,11.4,10.7,729.3,710.8,200.9,455.4,303.3,227.0,366.9,175.0
17,0,1919,10.2,18.0,0.0,35.5,283.9,542.5,246.5,259.8,170.7,186.2,340.4,258.4
18,0,1920,122.3,7.4,3.1,13.0,237.4,546.9,294.4,467.4,505.4,397.5,262.9,85.5
19,0,1921,13.2,3.1,0.0,37.5,351.2,282.7,487.1,330.0,581.2,360.7,118.2,41.5
20,0,1922,245.3,34.3,15.6,323.1,289.7,506.1,425.8,307.4,511.7,162.0,541.0,192.2
21,0,1923,79.5,0.0,39.22457157659636,91.3,293.5,808.4,636.9,182.2,560.5,131.9,197.4,70.6
22,0,1924,28.7,0.0,14.8,89.7,191.2,261.2,493.3,290.9,251.2,331.1,378.6,22.433075971581754
23,0,1925,36.6,0.0,8.6,50.4,282.2,663.8,241.8,278.2,201.9,249.5,271.5,196.0
24,0,1926,122.1,0.0,0.0,0.5,198.4,370.0,195.3,523.7,719.3,443.8,148.4,560.7
25,0,1927,3.0,17.5,17.8,108.6,504.1,433.3,195.2,370.1,126.2,327.5,274.1,65.5
26,0,1928,50.9,67.6,80.7,129.3,499.5,410.2,406.3,391.5,404.8,444.5,99.5,13.5
27,0,1929,74.2,118.4,129.2,69.8,316.6,588.8,134.0,644.7,172.9,413.0,251.5,13.5
28,0,1930,87.4,105.4,131.2,10.9,231.5,533.6,317.9,446.7,677.2,82.3,249.4,201.6
29,0,1931,25.3,0.0,2.5,2.5,205.4,393.5,289.3,571.0,294.4,368.3,22.8,182.7
30,0,1932,2.8,2.5,10.1,58.2,479.7,252.57298191082955,351.5443062200478,299.5840583173041,207.9533576439431,103.5701985170605,43.037585807822076,22.433075971581754
31,0,1933,4.5,11.7,8.1,58.4,365.4,544.2,376.6,294.1,759.0,239.8,268.8,56.9
32,0,1934,7.3,172.9,6.9,131.4,62.0,708.4,323.5,924.9,761.1,338.1,240.2,46.1
33,0,1935,6.6,0.0,0.5,133.6,726.8,374.1,368.7,411.6,578.9,182.4,275.4,95.4
34,0,1936,16.5,15.3,116.5,64.12615519439292,194.3,498.3,664.8,562.9,383.8,174.9,199.2,212.2
35,0,1937,21.6,10.7,0.0,112.0,330.5,732.8,449.5,332.0,349.5,383.3,251.7,617.5
36,0,1938,13.4,57.2,50.5,101.6,368.9,668.6,318.2,397.1,546.7,318.4,316.3,107.5
37,0,1939,54.1,1.5,16.1,77.3,480.5,541.0,335.6,202.8,512.5,263.9,165.9,131.3
38,0,1940,0.5,2.8,59.4,0.0,320.7,335.4,268.1,889.2,477.5,114.1,221.0,318.8
39,0,1941,0.0,12.8,0.0,77.8,251.9,497.0,302.5,311.9,516.0,382.8,266.0,279.5
40,0,1942,39.2,7.4,39.22457157659636,64.12615519439292,115.95978295502199,252.57298191082955,351.5443062200478,299.5840583173041,207.9533576439431,103.5701985170605,43.037585807822076,22.433075971581754
41,0,1946,84.4,3.6,21.1,135.2,309.1,535.9,189.0,367.4,478.3,276.9,146.9,243.8
42,0,1947,25.1,111.1,63.2,127.7,206.3,965.6,490.0,293.7,207.9533576439431,376.0,67.5,168.6
43,0,1949,0.0,56.4,0.0,166.5,405.8,658.4,743.3,404.0,627.5,339.6,81.1,7.0
44,0,1950,0.8,0.0,0.0,95.5,264.2,369.9,366.7,347.3,494.5,224.6,89.3,169.4
45,0,1951,82.7,7.2,0.0,45.4,259.0,619.9,665.3,101.3,360.9,489.0,209.6,434.8
46,0,1952,0.0,0.8,69.7,39.4,452.9,657.7,385.5,541.3,240.3,315.6,287.5,89.2
47,0,1953,56.0,65.3,20.1,159.4,241.1,549.9,444.4,262.8,370.1,243.6,246.0,63.3
48,0,1954,83.8,2.1,34.3,58.0,394.7,539.4,510.8,605.4,763.8,247.2,84.8,124.7
49,0,1955,57.3,28.2,9.9,68.8,663.6,651.1,298.4,356.9,341.8,466.5,362.9,44.2
50,0,1956,49.2,77.2,33.8,130.3,491.8,343.1,468.4,467.7,325.1,458.7,164.1,70.5
51,0,1957,28.0,19.3,4.6,19.0,142.4,741.9,316.2,421.3,354.3,299.7,88.6,71.9
52,0,1958,22.9,14.3,30.4,24.6,355.1,530.7,440.7,388.4,350.6,265.2,313.8,70.7
53,0,1959,10.1,1.8,31.3,86.7,238.1,455.7,817.1,409.3,589.6,332.7,242.5,128.5
54,0,1960,104.2,72.4,12.1,53.5,535.4,541.5,308.4,270.7,442.4,400.0,191.7,92.8
55,0,1961,82.1,99.4,33.2,88.1,973.1,383.3,304.9,557.1,612.0,379.9,280.6,144.5
56,0,1962,152.4,14.9,17.3,46.4,310.4,367.7,409.1,420.6,474.5,259.8,101.7,384.9
57,0,1963,79.9,26.8,7.4,69.5,259.9,434.7,303.3,601.2,614.3,295.5,109.3,179.9
58,0,1964,65.5,21.9,3.1,18.1,530.6,465.3,287.3,472.1,521.2,218.9,349.2,101.6
59,0,1965,11.8,30.4,25.3,51.0,292.3,408.8,392.1,396.6,576.8,290.5,187.9,500.4
60,0,1966,79.8,4.2,12.0,38.7,376.9,148.8,433.5,335.6,454.1,171.9,333.8,311.9
61,0,1967,164.6,21.6,30.0,63.4,516.4,340.8,537.8,614.3,303.5,427.5,99.7,97.0
62,0,1968,22.1,1.3,4.2,81.5,297.6,545.2,519.3,242.0,496.8,281.6,152.0,119.2
63,0,1969,106.3,64.7,14.6,20.8,317.3,422.8,345.2,281.4,489.8,146.8,343.7,65.8
64,0,1970,72.2,34.0,7.8,58.2,422.7,407.3,564.6,342.9,423.5,386.6,418.4,232.7
65,0,1971,41.5,32.8,37.7,35.3,398.0,394.6,421.1,327.9,470.2,505.3,178.4,155.9
66,0,1972,13.7,1.7,7.5,178.3,420.2,470.0,544.6,384.9,444.5,263.8,413.9,180.0
67,0,1973,18.1,20.3,30.5,29.6,418.6,488.6,371.4,370.3,357.5,247.2,349.8,289.1
68,0,1974,22.2,43.9,17.2,301.4,353.3,343.8,257.1,456.2,321.6,398.4,372.2,74.8
69,0,1975,276.9,27.5,8.0,24.2,362.9,706.3,173.6,357.4,351.8,373.6,323.7,99.7
70,0,1976,20.9,9.7,0.6,161.6,551.4,441.4,382.1,487.7,387.0,166.8,307.2,359.6
